name,ror-identifier,award-number,file-id
National Library of Medicine (NLM),0060t0j89,F37 LM009568 ,ns0646000
National Library of Medicine (NLM),0060t0j89,F37 LM009568 ,n870zq819
National Library of Medicine (NLM),0060t0j89,K01LM011973-01,9z902z89q
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,UL1RR025741,9z902z89q
Swiss National Science Foundation,00yjd3n13,3200B0-108261,0z708w45r
Mach-Gaensslen Foundation,0009ezc57,,0z708w45r
Otho S. A. Sprague Memorial Institute,00c2b9157,HE 07057,hx11xf327
Otho S. A. Sprague Memorial Institute,00c2b9157,HE 10573,hx11xf327
Ernest S. Bazley Trust,,,hx11xf327
National Library of Medicine (NLM),0060t0j89,,8p58pc98c
Oak Ridge Institute for Science and Education,,,8p58pc98c
National Center for Chronic Disease Prevention and Health Promotion,021rths28,DP006255,c0acc95c-7f32-48de-83a4-c830bec4bb29
National Institute on Drug Abuse,00fq5cm18,DA027828,c0acc95c-7f32-48de-83a4-c830bec4bb29
Department of Health and Human Services,00b9jhh55,SM60563-40,c0acc95c-7f32-48de-83a4-c830bec4bb29
National Institute on Drug Abuse (NIDA),00fq5cm18,2P30DA027828-07,4de23834-0309-48f9-9b9b-05dbaa6940ec
National Library of Medicine (NLM),0060t0j89,K01LM011973-01,3e5cf487-2383-4d1f-b697-ed40a8b79670
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,UL1TR001422,3e5cf487-2383-4d1f-b697-ed40a8b79670
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,UL1TR001422,2315fdf3-f8ad-461f-8151-0daa68ebfd2c
Penn Center for AIDS Research (CFAR),047939x15,,1bff6ec0-af92-48dd-a8e2-d17e4ac4f1ec
National Institute of Allergy and Infectious Diseases (NIAID),043z4tv69,,1bff6ec0-af92-48dd-a8e2-d17e4ac4f1ec
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,U24TR002306,37a5967d-8e25-47d1-92d3-9861755ccdc8
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,UL1TR001422,6f032b75-efdb-4ff9-8154-7443b2cac1e0
National Center for Advancing Translational Sciences (NCATS),04pw6fb54,UL1TR001422,d282192b-5d42-4f97-853d-72530ae15ba8
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),04byxyr05,P50HD076188,1aaa14ed-50b0-4c3c-a249-d088b8424a1d
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),04byxyr05,P50HD076188,7f794595-230e-48a0-aee1-d92f567d09a7
